name,college,position,teams,difficulty,path,path_level
Patrick Mahomes,Texas Tech,QB,Kansas City Chiefs,1,"Texas Tech,Kansas City Chiefs",1
Caleb Williams,Southern California,QB,Chicago Bears,1,"Southern California,Chicago Bears",1
Myles Garrett,Texas A&M,EDGE,Cleveland Browns,1,"Texas A&M,Cleveland Browns",1
George Pickens,Georgia,WR,"Pittsburgh Steelers,Dallas Cowboys",2,"Georgia,Pittsburgh Steelers,Dallas Cowboys",2
Montez Sweat,Mississippi State,EDGE,"Washington Commanders,Chicago Bears",3,"Mississippi State,Washington Commanders,Chicago Bears",3
Justin Jefferson,Louisiana State,WR,Minnesota Vikings,1,"Louisiana State,Minnesota Vikings",1
David Montgomery,Iowa State,RB,"Chicago Bears,Detroit Lions",4,"Iowa State,Chicago Bears,Detroit Lions",4
DeeJay Dallas,Miami,RB,"Seattle Seahawks,Arizona Cardinals",5,"Miami,Seattle Seahawks,Arizona Cardinals",5
D.J. Moore,Maryland,WR,"Carolina Panthers,Chicago Bears",3,"Maryland,Carolina Panthers,Chicago Bears",3
Tony Pollard,Memphis,RB,"Dallas Cowboys,Tennessee Titans",3,"Memphis,Dallas Cowboys,Tennessee Titans",3
Dak Prescott,Mississippi State,QB,Dallas Cowboys,1,"Mississippi State,Dallas Cowboys",1
Allen Robinson II,Penn State,WR,"Jacksonville Jaguars,Chicago Bears,Los Angeles Rams,Pittsburgh Steelers",2,"Penn State,Jacksonville Jaguars,Chicago Bears,Los Angeles Rams,Pittsburgh Steelers",3
Baker Mayfield,Oklahoma,QB,"Cleveland Browns,Carolina Panthers,Los Angeles Rams,Tampa Bay Buccaneers",2,"Oklahoma,Cleveland Browns,Carolina Panthers,Los Angeles Rams,Tampa Bay Buccaneers",3
Amon-Ra St. Brown,Southern California,WR,Detroit Lions,1,"Southern California,Detroit Lions",1
Adam Thielen,Minnesota State,WR,"Minnesota Vikings,Carolina Panthers",3,"Minnesota State,Minnesota Vikings,Carolina Panthers",3
Bradley Chubb,NC State,EDGE,"Denver Broncos,Miami Dolphins",3,"NC State,Denver Broncos,Miami Dolphins",3
